SID,DAY,OPENINGTIME,CLOSINGTIME
1,0,11:30,21:00
1,1,11:30,21:00
1,2,11:30,21:00
1,3,11:30,21:00
1,4,11:30,21:00
1,5,11:30,21:00
1,6,11:30,21:00
2,0,00:00,23:59
2,1,00:00,23:59
2,2,00:00,23:59
2,3,00:00,23:59
2,6,11:30,21:00
2,4,11:30,21:30
2,5,11:30,21:30
3,0,00:00,23:59
3,1,00:00,23:59
3,2,00:00,23:59
3,3,00:00,23:59
3,6,11:30,22:00
3,4,11:30,23:00
3,5,11:30,23:00
4,0,00:00,23:59
4,1,00:00,23:59
4,2,00:00,23:59
4,3,00:00,23:59
4,6,11:30,22:00
4,4,11:30,23:00
4,5,11:30,23:00
5,0,11:00,22:00
5,1,11:00,22:00
5,2,11:00,22:00
5,3,11:00,22:00
5,4,11:00,22:00
5,5,11:00,22:00
5,6,11:00,22:00
6,0,11:00,23:00
6,1,11:00,23:00
6,2,11:00,23:00
6,3,11:00,23:00
6,4,11:00,23:59
6,5,00:00,00:30
6,5,11:00,23:59
6,6,00:00,00:30
6,6,10:00,23:00
7,0,11:30,22:00
7,1,11:30,22:00
7,2,11:30,22:00
7,3,11:30,22:00
7,4,11:30,22:00
7,5,11:30,22:00
7,6,17:30,22:00
8,0,00:00,23:59
8,1,00:00,23:59
8,2,00:00,23:59
8,3,00:00,23:59
8,6,11:30,21:30
8,4,11:30,22:00
8,5,11:30,22:00
9,0,11:30,22:00
9,1,11:30,22:00
9,2,11:30,22:00
9,3,11:30,22:00
9,4,11:30,23:00
9,5,11:30,23:00
9,6,11:30,23:00
10,0,11:00,23:00
10,1,11:00,23:00
10,2,11:00,23:00
10,3,11:00,23:00
10,4,11:00,23:00
10,5,11:00,23:00
10,6,11:00,23:00
11,0,10:30,21:30
11,1,10:30,21:30
11,2,10:30,21:30
11,3,10:30,21:30
11,4,10:30,21:30
11,5,10:00,21:30
11,6,10:00,21:30
12,0,10:00,21:30
12,1,10:00,21:30
12,2,10:00,21:30
12,3,10:00,21:30
12,4,10:00,21:30
12,5,9:30,21:30
12,6,9:30,21:30
13,0,11:30,22:30
13,1,11:30,22:30
13,2,11:30,22:30
13,3,11:30,22:30
13,4,11:30,22:30
13,5,11:30,22:30
13,6,11:30,22:30
14,0,11:00,21:00
14,1,11:00,21:00
14,2,11:00,21:00
14,3,11:00,21:00
14,4,11:00,21:00
14,5,17:00,21:00
15,0,00:00,23:59
15,1,00:00,23:59
15,2,00:00,23:59
15,3,00:00,23:59
15,6,11:00,22:00
15,4,11:00,23:00
15,5,11:00,23:00
16,0,00:00,23:59
16,1,00:00,23:59
16,2,00:00,23:59
16,3,00:00,23:59
16,6,11:30,21:00
16,4,11:30,22:00
16,5,11:30,22:00
17,0,17:00,23:59
17,1,00:00,00:30
17,1,17:00,23:59
17,2,00:00,00:30
17,2,17:00,23:59
17,3,00:00,00:30
17,3,17:00,23:59
17,4,00:00,1:30
17,4,17:00,23:59
17,5,00:00,1:30
17,5,15:00,23:59
17,6,00:00,1:30
17,6,15:00,23:30
18,0,11:00,23:59
18,1,00:00,00:00
18,1,11:00,23:59
18,2,00:00,00:00
18,2,11:00,23:59
18,3,00:00,00:00
18,3,11:00,23:59
18,4,00:00,00:00
18,4,11:00,23:59
18,5,00:00,00:00
18,5,11:00,23:59
18,6,00:00,00:00
18,6,11:00,23:59
18,0,00:00,00:00
19,0,00:00,23:59
19,1,00:00,23:59
19,2,00:00,23:59
19,3,00:00,23:59
19,6,9:00,22:00
19,4,9:00,23:00
19,5,9:00,23:00
20,0,11:00,22:00
20,1,11:00,22:00
20,2,11:00,22:00
20,3,11:00,22:00
20,4,10:00,22:30
20,5,10:00,22:30
20,6,11:00,23:00
21,0,11:00,22:00
21,1,11:00,22:00
21,2,11:00,22:00
21,3,11:00,22:00
21,4,11:00,22:00
21,5,11:00,22:00
21,6,12:00,22:00
22,0,11:00,22:00
22,1,11:00,22:00
22,2,11:00,22:00
22,3,11:00,22:00
22,4,11:00,22:00
22,5,11:00,22:00
22,6,11:00,22:00
23,0,11:00,23:59
23,1,00:00,00:00
23,1,11:00,23:59
23,2,00:00,00:00
23,2,11:00,23:59
23,3,00:00,00:00
23,3,11:00,23:59
23,4,00:00,00:00
23,4,11:00,23:59
23,5,00:00,00:00
23,5,11:00,23:59
23,6,00:00,00:00
23,6,12:00,23:59
23,0,00:00,00:00
24,0,00:00,23:59
24,1,00:00,23:59
24,2,00:00,23:59
24,3,00:00,23:59
24,6,11:00,22:00
24,4,11:00,23:59
24,5,00:00,00:00
24,5,11:00,23:59
24,6,00:00,00:00
25,0,11:30,22:00
25,1,11:30,22:00
25,2,11:30,22:00
25,3,11:30,22:00
25,4,11:30,22:00
25,5,7:00,15:00
25,6,7:00,15:00
26,0,11:00,23:59
26,1,00:00,4:00
26,1,11:00,23:59
26,2,00:00,4:00
26,2,11:00,23:59
26,3,00:00,4:00
26,3,11:00,23:59
26,4,00:00,4:00
26,4,11:00,23:59
26,5,00:00,4:00
26,5,11:00,23:59
26,6,00:00,4:00
26,6,11:00,23:59
26,0,00:00,4:00
27,0,11:00,21:30
27,1,11:00,21:30
27,2,11:00,21:30
27,3,11:00,21:30
27,4,11:00,21:30
27,5,11:00,21:30
27,6,11:00,21:30
28,0,00:00,23:59
28,1,00:00,23:59
28,2,00:00,23:59
28,3,00:00,23:59
28,6,11:30,22:00
28,4,11:30,23:00
28,5,11:30,23:00
29,0,11:30,21:30
29,1,11:30,21:30
29,2,11:30,21:30
29,3,11:30,21:30
29,4,11:30,21:30
29,5,11:30,21:30
29,6,11:30,21:30
30,0,11:00,23:59
30,1,00:00,00:00
30,1,11:00,23:59
30,2,00:00,00:00
30,2,11:00,23:59
30,3,00:00,00:00
30,3,11:00,23:59
30,4,00:00,00:00
30,4,11:00,23:59
30,5,00:00,00:00
30,5,11:00,23:59
30,6,00:00,00:00
30,6,11:00,23:59
30,0,00:00,00:00
31,0,11:30,22:00
31,1,11:30,22:00
31,2,11:30,22:00
31,3,11:30,22:00
31,4,11:30,22:00
31,5,11:30,22:00
31,6,11:30,22:00
32,0,11:30,22:00
32,1,11:30,22:00
32,2,11:30,22:00
32,3,11:30,22:00
32,4,11:30,22:00
32,5,11:30,22:00
32,6,11:30,22:00
33,0,11:00,23:00
33,1,11:00,23:00
33,2,11:00,23:00
33,3,11:00,23:00
33,4,11:00,23:00
33,5,11:00,23:00
33,6,11:00,22:00
34,0,11:00,23:00
34,1,11:00,23:00
34,2,11:00,23:00
34,3,11:00,23:00
34,4,11:00,23:00
34,5,11:00,23:00
34,6,11:00,23:00
35,0,00:00,23:59
35,2,11:00,22:00
35,3,11:00,22:00
35,4,11:00,22:00
35,5,11:00,22:00
35,6,11:00,22:00
36,0,11:00,22:30
36,1,11:00,22:30
36,2,11:00,22:30
36,3,11:00,22:30
36,4,11:00,22:30
36,5,11:00,22:30
36,6,11:00,22:30
37,0,11:30,22:00
37,1,11:30,22:00
37,2,11:30,22:00
37,3,11:30,22:00
37,4,11:30,22:00
37,5,17:30,22:00
38,0,11:00,22:00
38,1,11:00,22:00
38,2,11:00,22:00
38,3,11:00,22:00
38,4,11:00,22:00
38,5,17:00,22:00
38,6,17:00,22:00
39,0,11:00,22:30
39,1,11:00,22:30
39,2,11:00,22:30
39,3,11:00,22:30
39,4,11:00,22:30
39,5,11:00,22:30
39,6,11:00,22:30
40,0,11:00,23:00
40,1,11:00,23:00
40,2,11:00,23:00
40,3,11:00,23:00
40,4,11:00,23:00
40,5,11:00,23:00
40,6,11:00,23:00
41,0,11:00,23:59
41,1,00:00,1:00
41,1,11:00,23:59
41,2,00:00,1:00
41,2,11:00,23:59
41,3,00:00,1:00
41,3,11:00,23:59
41,4,00:00,1:00
41,4,11:00,23:59
41,5,00:00,1:00
41,5,11:00,23:59
41,6,00:00,1:00
41,6,11:00,23:59
41,0,00:00,1:00
42,0,00:00,23:59
42,1,00:00,23:59
42,2,00:00,23:59
42,3,00:00,23:59
42,6,11:30,22:00
42,4,11:30,22:30
42,5,11:30,22:30
43,0,12:00,22:00
43,1,12:00,22:00
43,2,12:00,22:00
43,3,12:00,22:00
43,4,12:00,22:00
43,5,17:00,22:00
43,6,17:00,22:00
44,0,00:00,23:59
44,1,00:00,23:59
44,2,00:00,23:59
44,3,00:00,23:59
44,6,10:00,22:30
44,4,10:00,23:59
44,5,00:00,00:30
44,5,10:00,23:59
44,6,00:00,00:30
45,0,11:30,22:00
45,1,11:30,22:00
45,2,11:30,22:00
45,3,11:30,22:00
45,4,11:30,22:00
45,5,17:00,22:00
46,0,9:00,21:30
46,1,9:00,21:30
46,2,9:00,21:30
46,3,9:00,21:30
46,4,9:00,21:30
46,5,9:00,22:00
46,6,9:00,22:00
47,0,10:00,23:00
47,1,10:00,23:00
47,2,10:00,23:00
47,3,10:00,23:00
47,4,10:00,23:00
47,5,10:00,23:00
47,6,10:00,23:00
48,0,11:00,23:00
48,1,11:00,23:00
48,2,11:00,23:00
48,3,11:00,23:00
48,4,11:00,23:00
48,5,11:00,23:00
48,6,11:00,22:30
49,0,8:00,22:30
49,1,8:00,22:30
49,2,8:00,22:30
49,3,8:00,22:30
49,4,8:00,22:30
49,5,8:00,22:30
49,6,8:00,22:30
50,0,11:00,22:30
50,1,11:00,22:30
50,2,11:00,22:30
50,3,11:00,22:30
50,4,11:00,23:00
50,5,11:30,23:00
50,6,16:30,22:30
51,0,17:30,23:59
51,1,00:00,2:00
51,1,17:30,23:59
51,2,00:00,2:00
51,2,17:30,23:59
51,3,00:00,2:00
51,3,17:30,23:59
51,4,00:00,2:00
51,4,17:30,23:59
51,5,00:00,2:00
51,5,17:30,23:59
51,6,00:00,2:00
51,6,17:30,23:59
51,0,00:00,2:00
52,0,00:00,23:59
52,4,17:00,18:15
52,1,12:15,12:15
52,2,13:15,17:45
52,3,10:00,15:00
52,5,10:00,15:00
52,6,6:30,12:45
53,0,6:30,14:00
53,1,6:30,14:00
53,2,6:30,14:00
53,3,10:45,22:00
53,6,10:45,22:00
53,4,7:45,18:30
53,5,8:00,13:00
54,0,8:00,22:30
54,1,13:30,23:59
54,2,00:00,3:15
54,2,7:45,12:15
54,3,13:45,23:59
54,4,00:00,2:15
54,4,7:45,13:45
54,5,12:15,15:45
54,6,5:00,23:59
54,0,00:00,2:15
55,6,00:00,23:59
55,4,17:45,23:00
55,1,10:15,22:45
55,2,11:00,22:15
55,3,11:15,23:59
55,4,00:00,1:30
55,5,17:45,23:59
55,6,00:00,3:45
56,0,00:00,23:59
56,3,17:00,18:00
56,1,8:45,16:30
56,2,11:15,23:59
56,3,00:00,3:15
56,4,12:30,22:00
56,5,13:15,23:45
56,6,17:15,21:45
57,0,00:00,23:59
57,3,7:00,16:00
57,1,8:15,12:00
57,2,10:00,23:45
57,4,10:45,21:15
57,5,10:30,11:30
57,6,9:15,10:30
58,0,11:45,21:15
58,1,7:45,12:30
58,4,7:00,23:59
58,5,00:00,3:45
58,5,6:00,15:30
59,0,00:00,23:59
59,2,5:30,23:59
59,3,00:00,3:30
59,1,13:30,16:00
59,3,15:00,23:59
59,4,00:00,12:15
59,4,13:00,14:00
59,5,7:45,12:00
59,6,11:15,19:45
60,0,10:45,17:00
60,1,7:00,22:45
60,2,12:45,23:59
60,3,00:00,1:45
60,3,16:45,23:59
60,4,00:00,12:45
60,4,11:30,21:45
60,5,8:15,22:15
60,6,7:45,23:59
60,0,00:00,2:00
61,0,00:00,23:59
61,5,15:45,18:30
61,1,17:15,22:15
61,2,17:15,22:15
61,3,17:15,22:15
61,4,16:30,21:00
61,6,9:15,14:30
62,0,17:45,23:59
62,1,00:00,1:00
62,1,16:45,23:59
62,2,00:00,12:45
62,3,16:45,23:59
62,4,00:00,12:45
62,2,9:45,11:15
62,4,9:45,11:15
62,5,7:00,10:45
62,6,6:15,13:15
63,0,11:30,16:30
63,1,12:00,16:45
63,2,13:30,23:59
63,3,00:00,1:30
63,3,7:00,12:15
63,4,9:15,17:15
63,5,13:00,18:00
63,6,9:45,12:45
64,0,11:30,23:59
64,1,00:00,1:00
64,3,12:15,19:00
64,5,5:15,19:00
64,6,15:15,23:59
64,0,00:00,12:15
65,0,00:00,23:59
65,3,9:30,15:00
65,1,14:00,20:30
65,2,16:30,17:30
65,4,16:30,17:30
65,5,16:15,21:15
65,6,17:00,22:15
66,0,16:30,23:15
66,1,16:30,23:15
66,2,10:15,17:00
66,3,10:15,17:00
66,4,5:15,20:30
66,5,10:00,23:59
66,6,00:00,2:30
66,6,10:00,23:59
66,0,00:00,2:30
67,0,00:00,23:59
